dt1;dt2;dt3;dt4;timeline;codice_articolo;descrizione;codice insegnante;codice_sede;abbigliamento
14/01/2020;16/01/2020;21/01/2020;23/01/2020;19:00 – 22:00;PHYLB;PHYL Base ;392;;e Ripetizione PHYL Base
15/02/2020;16/02/2020;;;09:00 – 18:00;PHYLB;PHYL Base ;392;;e Ripetizione PHYL Base
16/05/2020;17/05/2020;;;09:00 – 18:00;PHYLB;PHYL Base ;392;;e Ripetizione PHYL Base
20/06/2020;21/06/2020;;;09:00 – 18:00;PHYLB;PHYL Base ;392;;e Ripetizione PHYL Base
26/01/2020;;;;10:00 – 17:00;PHYLME;PHYL My Energy;580;;
29/02/2020;;;;10:00 – 17:00;PHYLME;PHYL My Energy;581;;
26/04/2020;;;;10:00 – 17:00;PHYLME;PHYL My Energy;582;;
18/01/2020;19/01/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;152;;e Ripetizione PHYL Base
14/03/2020;15/03/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;152;;e Ripetizione PHYL Base
16/05/2020;17/05/2020;;;09:00 – 17:00;PHYLB;PHYL Base;152;;e Ripetizione PHYL Base
08/02/2020;09/02/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;347;;e Ripetizione PHYL Base
16/05/2020;17/05/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;347;;e Ripetizione PHYL Base
04/07/2020;05/07/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;347;;e Ripetizione PHYL Base
19/01/2020;26/01/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;776;;e Ripetizione PHYL Base
16/05/2020;17/05/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;776;;e Ripetizione PHYL Base
28/03/2020;29/03/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;236;;e Ripetizione PHYL Base
04/07/2020;05/07/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;236;;e Ripetizione PHYL Base
08/02/2020;09/02/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;3088;;e Ripetizione PHYL Base
28/03/2020;29/03/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;;;e Ripetizione PHYL Base
16/02/2020;23/02/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;789;;e Ripetizione PHYL Base
14/03/2020;15/03/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;391;;e Ripetizione PHYL Base
23/05/2020;24/05/2020;;;09:00 – 17:00;PHYLB;PHYL Base ;391;;e Ripetizione PHYL Base
20/02/2020;;;;19:00 – 22:30;PHYLYB;PHYL Yoga Brain ;580;;
22/05/2020;;;;19:00 – 22:30;PHYLYB;PHYL Yoga Brain;580;;
08/02/2020;09/02/2020;;;09:00 – 18:00;PHYLA1;PHYL Programma Avanzato 1;580;;e Ripetizione PHYL Avanzato 1
04/04/2020;05/04/2020;;;09:00 – 18:00;PHYLA1;PHYL Programma Avanzato 1;;;e Ripetizione PHYL Avanzato 1
13/06/2020;14/06/2020;;;09:00 – 18:00;PHYLA2;PHYL Avanzato 2;580;;
07/03/2020;08/03/2020;;;09:00 – 18:00;PHYLBP;PHYL Benessere Psicologico;580;;e Ripetizione PHYL Benessere Psicologico
18/04/2020;19/04/2020;;;09:00 – 18:00;PHYLEC;PHYL L'Energia dei Cristalli;580;;
14/11/2020;15/11/2020;;;09:00 – 18:00;PHYLYA;PHYL Yoga dell'Anima;1674 3565;;
20/03/2020;;;;20:00 – 22:30;STAGEYM;Stage Yoga e Mantra ;1674;;
13/06/2020;14/06/2020;;;10:00 – 17:00;DCINA;Introduzione all'Ayurveda ;347;;
26/01/2020;;;;10:00 – 17:00;DCWRM;Workshock con Richard Romagnoli;3271;;
09/02/2020;;;;10:00 – 17:00;DCWRM;Workshock con Richard Romagnoli;3271;;
23/02/2020;;;;10:00 – 17:00;DCWRM;Workshock con Richard Romagnoli;3271;;
01/03/2020;;;;10:00 – 17:00;DCWRM;Workshock con Richard Romagnoli;3271;;
10/05/2020;;;;10:00 – 17:00;DCWRM;Workshock con Richard Romagnoli;3271;;
08/11/2020;;;;10:00 – 17:00;DCWRM;Workshock con Richard Romagnoli;3271;;
20/11/2020;21/11/2020;22/11/2020;;11:00 – 18:00;PHYLYAI;Introduttivo Yoga dell'Arhat;510 1674 3565;;
21/03/2020;22/03/2020;;;09:00 – 18:00;PHYLA;PHYL Autodifesa ;1674 3565;;
28/03/2020;29/03/2020;;;09:00 – 18:00;PHYLA;PHYL Autodifesa ;1674 3565;;
18/04/2020;19/04/2020;;;09:00 – 18:00;PHYLA;PHYL Autodifesa ;;;
17/10/2020;18/10/2020;;;09:00 – 18:00;PHYLA;PHYL Autodifesa ;1674 3565;;
08/05/2020;09/05/2020;10/05/2020;;21:00 – 18:00;RITYA;Ritiro Yoga dell'Arhat;510 1674 3565;21:00 8/5 - 18:00 10/5;
02/10/2020;03/10/2020;04/10/0202;;21:00 – 18:00;TRAYA;Training Yoga dell'Arhat ;510 1674 3565;21:00 2/10 - 18:00 4/10;
25/02/2020;;;;19:00 – 22:30;STAGEKR;Stage Karma e Regola Aurea;510;;
17/04/2020;;;;;STAGEKR;Stage Karma e Regola Aurea;;;
07/06/2020;;;;19:00 – 22:30;STAGECB;Stage il Chakra del Cuore e Guarigione;1674;;
01/03/2020;;;;19:00 – 22:30;INTROPR;Introduzione al Pranayama;580;;
24/10/2020;25/10/2020;;;09:00 – 18:00;PHYLFS;PHYL Feng Shui;510 1674;;
19/05/2020;;;;20:00 – 23:00;STAGEP;Stage Perdono;510;;
04/04/2020;05/04/2020;;;10:00 – 17:00;DCENN;Enneagramma ed Empowerment;3574;;
15/03/2020;;;;10:00 – 17:00;PHYAE;PHYL Aromaterapia Energetica;392;;
23/05/2020;;;;;PHYAE;PHYL Aromaterapia Energetica ;392;;
07/06/2020;;;;;PHYAE;PHYL Aromaterapia Energetica;392;;
01/02/2020;02/02/2020;;;09:00 – 18:00;CRS0;Corso di formazione Insegnanti;510 1674 3565;;
27/06/2020;28/06/2020;;;;CRS0;Corso di formazione Insegnanti;510 1674 3565;;
11/01/2020;12/01/2020;;;10:00 – 17:00;CORSTR;Introduzione allo studio dei Tarocchi;3574;;
;;;;09:00 – 18:00;ANFI1;Anatomia e fisiologia 1 ;466 3103;;
;;;;10:00 – 17:00;INTROM;Introduzione alla Meditazione;510;;
;;;;10:00 – 17:00;DCAU1;Autostima 1;510 3574;;
;;;;09:00 – 18:00;DCFB1;Fiori di Bach livello 1 ;1319;;
;;;;09:00 – 18:00;ANFI2;Anatomia e Fisiologia 2;466 3103;;
;;;;10:00 – 17:00;DCINF;Introduzione alle Filosofie Orientali;3565;;
;;;;10:00 – 17:00;DCTMA;Tecniche di Meditazione in Arti Marziali;3565;;
;;;;10:00 – 17:00;DCAU2;Autostima 2;510 3574;;
;;;;10:00 – 17:00;DCENN;Introduzione all'Enneagramma ;3574;;
;;;;09:00 – 18:00;DCFB2;PHYL Yoga del Successo;1319;;
;;;;09:00 – 18:00;PHYLYS;PHYL Yoga del Successo;510;;
;;;;09:00 – 18:00;DCELO;Elementi di Oncologia;;;
;;;;09:00 – 18:00;DCELD;Elementi di Dermatologia;;;
